#VOG	FreqVir	FreqHost	Viral Quotient
VOG0107	0.0275537634	0.0006013229	0.9786424768
VOG0108	0.029905914	0	1
VOG0109	0.0191532258	0	1
VOG0113	0.030577957	0	1
VOG0114	0.0252016129	0	1
VOG0115	0.03125	0	1
VOG0116	0.0322580645	0	1
VOG0117	0.0336021505	0	1
VOG0118	0.029905914	0	1
VOG0122	0.030577957	0	1
VOG0125	0.029905914	0	1
VOG0126	0.0315860215	0	1
VOG0127	0.0060483871	0	1
VOG0128	0.0067204301	0	1
VOG0129	0.029905914	0	1
VOG0131	0.029905914	0	1
VOG0133	0.028561828	0	1
VOG0134	0.030577957	0	1
VOG0136	0.0443548387	0.013229104	0.7702640111
VOG0139	0.0194892473	0	1
VOG0141	0.0067204301	0	1
VOG0142	0.03125	0	1
VOG0143	0.03125	0.020044097	0.6092318964
VOG0144	0.029233871	0	1
VOG0145	0.029905914	0	1
VOG0149	0.0040322581	0.0004008819	0.9095715588
VOG0151	0.0067204301	0.0018039687	0.7883758415
VOG0152	0.0302419355	0.0026057326	0.9206722193
VOG0154	0.0255376344	0.1118460613	0.1858854813
VOG0156	0.0403225806	0.5514131088	0.0681428911
VOG0157	0.0530913978	0.0647424334	0.4505615858
VOG0158	0.0151209677	0.0465023051	0.2453775506
VOG0159	0.0171370968	0.0226498296	0.4307218055
VOG0162	0.0063844086	0	1
VOG0163	0.0077284946	0.0006013229	0.9278107944
VOG0166	0.0033602151	0	1
VOG0167	0.0050403226	0	1
VOG0168	0.0184811828	0.000200441	0.989270688
VOG0169	0.0188172043	0.000200441	0.9894602635
VOG0170	0.0184811828	0	1
VOG0171	0.0141129032	0	1
VOG0172	0.0188172043	0.000200441	0.9894602635
VOG0173	0.0188172043	0	1
VOG0174	0.0184811828	0	1
VOG0175	0.0080645161	0	1
VOG0176	0.0288978495	0	1
VOG0177	0.0184811828	0.000200441	0.989270688
VOG0178	0.0188172043	0.000200441	0.9894602635
VOG0179	0.002688172	0.0012026458	0.6909015372
VOG0181	0.0120967742	0.0094207256	0.5621830748
VOG0182	0.0023521505	0.000200441	0.9214755007
VOG0183	0.0047043011	0.0006013229	0.8866631122
VOG0186	0.0090725806	0.0118260172	0.4341238918
VOG0189	0.0648521505	0.443174985	0.1276548948
VOG0190	0.0053763441	0.000200441	0.964057971
VOG0192	0.0033602151	0.000200441	0.9437067302
VOG0193	0.0033602151	0	1
VOG0194	0.0090725806	0.0004008819	0.9576836941
VOG0195	0.0077284946	0.0016035278	0.828169319
VOG0196	0.0110887097	0.000200441	0.9822448139
VOG0197	0.002016129	0.0004008819	0.8341414479
VOG0198	0.0665322581	0.0513128884	0.5645735958
VOG0202	0.0036962366	0.000200441	0.9485610578
VOG0204	0.0577956989	0.0340749649	0.6290985229
VOG0205	0.0073924731	0.0048105833	0.6057886545
VOG0207	0.0067204301	0.0012026458	0.8482097317
VOG0209	0.0047043011	0.0010022049	0.8243750443
VOG0217	0.0033602151	0.0010022049	0.7702640111
VOG0221	0.0745967742	0.1733814392	0.3008198712
VOG0223	0.0060483871	0.0004008819	0.9378407168
VOG0226	0.0920698925	0.8266185608	0.1002188415
VOG0227	0.0336021505	0.0521146522	0.3920135779
VOG0233	0.002688172	0.0176388054	0.1322465209
VOG0234	0.002016129	0.0631389056	0.0309435647
VOG0236	0.001344086	0.0012026458	0.5277689622
VOG0237	0.0057123656	0.0006013229	0.9047588569
VOG0238	0.0621639785	0.0855882942	0.4207311153
VOG0239	0.0161290323	0.2942473442	0.0519660434
VOG0242	0.0023521505	0.0006013229	0.7964014504
VOG0243	0.1169354839	0.0358789337	0.7652123783
VOG0244	0.0063844086	0.0214471838	0.229394298
VOG0245	0.002016129	0.0022048507	0.4776448061
VOG0248	0.0033602151	0.3433553818	0.0096915601
VOG0249	0.0023521505	0.1930246542	0.012039047
VOG0251	0.0033602151	0.0264582081	0.1126892271
VOG0253	0.0171370968	0.0086189617	0.6653617742
VOG0254	0.0282258065	0.020044097	0.584749594
VOG0258	0.0087365591	0.0140308679	0.3837306306
VOG0259	0.0097446237	0.0150330728	0.3932820668
VOG0260	0.0097446237	0.0104229304	0.4831832163
VOG0261	0.0073924731	0.0168370415	0.3051019898
VOG0263	0.0094086022	0.0188414512	0.3330472349
VOG0264	0.0073924731	0.0158348366	0.318266437
VOG0265	0.0084005376	0.0138304269	0.3778755351
VOG0267	0.0107526882	0.0220485067	0.3278139168
VOG0273	0.0023521505	0.0192423331	0.1089236758
VOG0274	0.0053763441	0.6287833233	0.0084779029
VOG0275	0.2352150538	0.8596913209	0.2148266365
VOG0278	0.0171370968	0.0144317498	0.542848365
VOG0280	0.0184811828	0.0048105833	0.793464211
VOG0281	0.0104166667	0.0120264582	0.4641361987
VOG0283	0.0682123656	0.0196432151	0.7764147146
VOG0284	0.0030241935	0.0050110243	0.3763673398
VOG0285	0.0030241935	0.0076167569	0.2842033306
VOG0286	0.0238575269	0.0056123472	0.8095564591
VOG0287	0.0033602151	0.006814993	0.3302355137
VOG0288	0.0238575269	0.0158348366	0.6010608783
VOG0291	0.0060483871	0.0014030868	0.8117034546
VOG0292	0.0288978495	0.0326718781	0.4693515887
VOG0293	0.0302419355	0.0086189617	0.7782099144
VOG0294	0.0117607527	0.0252555622	0.3177180849
VOG0295	0.0137768817	0.0110242534	0.5554939997
VOG0296	0.0309139785	0.0286630587	0.5188908334
VOG0297	0.0141129032	0.0078171978	0.6435402731
VOG0298	0.0147849462	0.0328723191	0.3102348851
VOG0299	0.061155914	0.0619362598	0.496830238
VOG0300	0.0114247312	0.0008017639	0.9344240621
VOG0302	0.0063844086	0.0150330728	0.2980933423
VOG0303	0.002688172	0.0028061736	0.4892615475
VOG0311	0.0040322581	0.0008017639	0.8341414479
VOG0312	0.002016129	0.0006013229	0.7702640111
VOG0315	0.0040322581	0.0018039687	0.6909015372
VOG0316	0.0030241935	0.0018039687	0.6263653484
VOG0319	0.0067204301	0	1
VOG0320	0.0016801075	0.0004008819	0.8073599379
VOG0321	0.0272177419	0.0392864301	0.409263676
VOG0322	0.0890456989	0.0162357186	0.8457874242
VOG0327	0.0813172043	0.0250551213	0.764458273
VOG0329	0.0016801075	0	1
VOG0334	0.0147849462	0.0012026458	0.9247763005
VOG0335	0.0016801075	0.0010022049	0.6263653484
VOG0336	0.0016801075	0	1
VOG0337	0.0040322581	0.0012026458	0.7702640111
VOG0338	0.0016801075	0	1
VOG0339	0.0016801075	0.0012026458	0.5828134857
VOG0340	0.0016801075	0.0012026458	0.5828134857
VOG0341	0.0016801075	0.0012026458	0.5828134857
VOG0342	0.0016801075	0.0012026458	0.5828134857
VOG0344	0.0016801075	0.0012026458	0.5828134857
VOG0345	0.0016801075	0.0010022049	0.6263653484
VOG0346	0.001344086	0.000200441	0.8702250131
VOG0347	0.0010080645	0.000200441	0.8341414479
VOG0348	0.0043682796	0.0118260172	0.2697418494
VOG0350	0.0608198925	0.3076768892	0.1650486395
VOG0351	0.0779569892	0	1
VOG0352	0.0225134409	0.0328723191	0.4064842818
VOG0354	0.0036962366	0	1
VOG0355	0.0080645161	0.0154339547	0.3431932311
VOG0356	0.0803091398	0.0096211666	0.8930153031
VOG0362	0.0043682796	0	1
VOG0364	0.0040322581	0.0010022049	0.8009311286
VOG0367	0.0356182796	0	1
VOG0368	0.0043682796	0.0004008819	0.9159428886
VOG0369	0.0036962366	0.2593706154	0.0140505599
VOG0370	0.0151209677	0.0006013229	0.9617534796
VOG0371	0.0349462366	0	1
VOG0372	0.0047043011	0.9408699138	0.0049750733
VOG0373	0.0043682796	0.0104229304	0.2953294264
VOG0374	0.0322580645	0	1
VOG0375	0.0426747312	0.6718781319	0.059722287
VOG0376	0.0164650538	0.1437161756	0.1027901573
VOG0377	0.092405914	0.6794948888	0.119712162
VOG0382	0.0520833333	0.9757466426	0.0506731021
VOG0384	0.0527553763	0.9715373822	0.0515041973
VOG0388	0.0252016129	0.000200441	0.9921092613
VOG0389	0.0131048387	0	1
VOG0390	0.0561155914	0.0012026458	0.9790180948
VOG0393	0.0245295699	0	1
VOG0394	0.0221774194	0	1
VOG0395	0.0215053763	0	1
VOG0396	0.0188172043	0	1
VOG0397	0.0678763441	0.0998196031	0.4047584048
VOG0398	0.0356182796	0	1
VOG0400	0.0231854839	0	1
VOG0401	0.0204973118	0	1
VOG0402	0.0352822581	0	1
VOG0403	0.0144489247	0.000200441	0.9863174301
VOG0404	0.0154569892	0	1
VOG0405	0.0557795699	0.0354780517	0.6112319049
VOG0407	0.0073924731	0	1
VOG0408	0.0661962366	0	1
VOG0409	0.0756048387	0	1
VOG0410	0.0329301075	0	1
VOG0411	0.0191532258	0	1
VOG0412	0.0127688172	0	1
VOG0413	0.0208333333	0.000200441	0.9904705182
VOG0414	0.0231854839	0	1
VOG0415	0.0188172043	0	1
VOG0416	0.0225134409	0	1
VOG0417	0.0124327957	0	1
VOG0418	0.0204973118	0	1
VOG0419	0.0507392473	0.3998797354	0.1125990011
VOG0420	0.0514112903	0.4798556825	0.0967711018
VOG0421	0.0178091398	0	1
VOG0422	0.0174731183	0	1
VOG0424	0.0184811828	0	1
VOG0425	0.0218413978	0	1
VOG0426	0.0151209677	0	1
VOG0427	0.0178091398	0	1
VOG0428	0.0161290323	0	1
VOG0429	0.0184811828	0	1
VOG0433	0.032594086	0	1
VOG0434	0.0198252688	0	1
VOG0435	0.0238575269	0	1
VOG0436	0.029905914	0	1
VOG0437	0.0164650538	0	1
VOG0438	0.0315860215	0.0030066146	0.9130851275
VOG0439	0.0221774194	0	1
VOG0440	0.0275537634	0.160954099	0.1461677146
VOG0441	0.0201612903	0	1
VOG0443	0.029233871	0.1379033875	0.1749093604
VOG0444	0.0171370968	0	1
VOG0445	0.0171370968	0	1
VOG0447	0.0275537634	0	1
VOG0448	0.0127688172	0	1
VOG0449	0.0191532258	0	1
VOG0450	0.0393145161	0.0008017639	0.9800140023
VOG0451	0.1085349462	0.006814993	0.940918972
VOG0452	0.0719086022	0	1
VOG0454	0.0362903226	0	1
VOG0456	0.0369623656	0	1
VOG0457	0.0369623656	0	1
VOG0459	0.0359543011	0	1
VOG0460	0.0776209677	0	1
VOG0461	0.0446908602	0	1
VOG0462	0.0752688172	0	1
VOG0463	0.0329301075	0	1
VOG0464	0.0366263441	0	1
VOG0465	0.0715725806	0	1
VOG0466	0.0779569892	0	1
VOG0468	0.0228494624	0.0004008819	0.9827580213
VOG0469	0.0262096774	0	1
VOG0471	0.033938172	0	1
VOG0473	0.0725806452	0	1
VOG0474	0.0342741935	0	1
VOG0475	0.0322580645	0	1
VOG0476	0.0322580645	0	1
VOG0477	0.0709005376	0.0008017639	0.988818157
VOG0479	0.0218413978	0	1
VOG0480	0.031922043	0	1
VOG0481	0.0655241935	0.0863900581	0.4313235449
VOG0482	0.0386424731	0.0020044097	0.9506872468
VOG0483	0.0228494624	0	1
VOG0484	0.0228494624	0	1
VOG0485	0.0262096774	0	1
VOG0486	0.0188172043	0	1
VOG0487	0.0184811828	0	1
VOG0488	0.0127688172	0	1
VOG0489	0.0141129032	0	1
VOG0493	0.0315860215	0.000200441	0.9936941404
VOG0494	0.0584677419	0.0084185207	0.8741367748
VOG0495	0.0147849462	0	1
VOG0496	0.0742607527	0.7350170375	0.0917617579
VOG0497	0.0114247312	0	1
VOG0498	0.0063844086	0	1
VOG0499	0.0890456989	0.007015434	0.9269690691
VOG0505	0.0372983871	0	1
VOG0506	0.0208333333	0	1
VOG0507	0.0396505376	0.0004008819	0.9899908182
VOG0509	0.0272177419	0	1
VOG0510	0.0336021505	0	1
VOG0511	0.0184811828	0	1
VOG0513	0.0057123656	0.0008017639	0.8769192593
VOG0514	0.0218413978	0.0036079375	0.8582305817
VOG0518	0.033938172	0.0016035278	0.9548832
VOG0519	0.0047043011	0.0054119062	0.4650261655
VOG0521	0.0036962366	0.0006013229	0.8600780479
VOG0523	0.0120967742	0.0008017639	0.9378407168
VOG0524	0.0241935484	0.0040088194	0.8578552187
VOG0525	0.0204973118	0.0014030868	0.9359332761
VOG0526	0.0235215054	0.0020044097	0.9214755007
VOG0527	0.001344086	0	1
VOG0528	0.0087365591	0.0008017639	0.9159428886
VOG0529	0.0047043011	0.0036079375	0.5659487578
VOG0531	0.0033602151	0.0010022049	0.7702640111
VOG0532	0.0073924731	0.007015434	0.5130844529
VOG0533	0.0033602151	0.0010022049	0.7702640111
VOG0534	0.0211693548	0.0038083784	0.8475290615
VOG0535	0.0087365591	0.007015434	0.5546319813
VOG0536	0.0577956989	0.0154339547	0.7892390045
VOG0537	0.002016129	0.000200441	0.9095715588
VOG0539	0.0127688172	0.0024052916	0.8414871235
VOG0541	0.0080645161	0.0008017639	0.9095715588
VOG0542	0.0053763441	0.0014030868	0.7930376729
VOG0543	0.002688172	0.0004008819	0.8702250131
VOG0544	0.0033602151	0.0326718781	0.0932561713
VOG0545	0.0033602151	0.0352776107	0.0869669808
VOG0546	0.0043682796	0.0034074965	0.5617805265
VOG0547	0.0063844086	0.0048105833	0.5702914899
VOG0548	0.0057123656	0.0004008819	0.9344240621
VOG0549	0.0050403226	0.0012026458	0.8073599379
VOG0550	0.002016129	0.0008017639	0.715473971
VOG0551	0.0023521505	0.0012026458	0.6616836242
VOG0553	0.0030241935	0	1
VOG0554	0.0033602151	0	1
VOG0555	0.002688172	0	1
VOG0556	0.0050403226	0.000200441	0.9617534796
VOG0557	0.0235215054	0.0012026458	0.9513574476
VOG0558	0.0040322581	0	1
VOG0559	0.0362903226	0.0010022049	0.9731258534
VOG0560	0.002016129	0	1
VOG0562	0.0060483871	0.0020044097	0.7510914839
VOG0564	0.0050403226	0.000200441	0.9617534796
VOG0565	0.0147849462	0.0008017639	0.9485610578
VOG0566	0.0154569892	0.0078171978	0.6641258486
VOG0567	0.0151209677	0.0032070555	0.8250190173
VOG0568	0.0154569892	0.0028061736	0.8463478857
VOG0569	0.0198252688	0.0252555622	0.4397715915
VOG0571	0.0127688172	0.0034074965	0.7893527193
VOG0572	0.0366263441	0.013629986	0.7287906627
VOG0573	0.0789650538	0.0354780517	0.6899939794
VOG0574	0.0174731183	0.0184405693	0.4865308878
VOG0577	0.0178091398	0.0172379234	0.5081492756
VOG0582	0.0178091398	0.0619362598	0.2233249803
VOG0583	0.0094086022	0.0442974544	0.1751869855
VOG0584	0.0050403226	0.0144317498	0.2588487999
VOG0585	0.0426747312	0.1904189216	0.183079765
VOG0586	0.0204973118	0.0072158749	0.7396230542
VOG0588	0.0120967742	0.0158348366	0.4330854481
VOG0590	0.0040322581	0.000200441	0.9526446439
VOG0595	0.0030241935	0.000200441	0.9378407168
VOG0598	0.0016801075	0.0100220485	0.1435724769
VOG0600	0.001344086	0	1
VOG0601	0.002688172	0	1
VOG0602	0.0221774194	0.0194427741	0.5328523852
VOG0603	0.0077284946	0	1
VOG0608	0.001344086	0.0016035278	0.4559912257
VOG0609	0.0084005376	0.0140308679	0.3744989416
VOG0611	0.0033602151	0.0046101423	0.4215890078
VOG0612	0.0084005376	0.0092202846	0.4767392526
VOG0614	0.0204973118	0.0216476248	0.4863528927
VOG0615	0.031922043	0.0358789337	0.4708198109
VOG0618	0.0127688172	0.0326718781	0.2809995998
VOG0621	0.0127688172	0.0084185207	0.6026626485
VOG0622	0.0036962366	0.0016035278	0.6974341378
VOG0623	0.0097446237	0.0062136701	0.610630674
VOG0625	0.0047043011	0.0036079375	0.5659487578
VOG0628	0.0010080645	0.0042092604	0.1932148251
VOG0629	0.0131048387	0.0092202846	0.5869996108
VOG0630	0.0151209677	0.0140308679	0.5186969329
VOG0631	0.0036962366	0.0054119062	0.4058167136
VOG0632	0.0030241935	0.0026057326	0.5371639809
VOG0634	0.0053763441	0.0004008819	0.9306099608
VOG0635	0.000672043	0	1
VOG0637	0.0033602151	0.0004008819	0.8934135597
VOG0638	0.0057123656	0.0008017639	0.8769192593
VOG0639	0.0063844086	0	1
VOG0641	0.032594086	0.0565243536	0.3657389668
VOG0642	0.0057123656	0	1
VOG0643	0.0060483871	0.000200441	0.9679234301
VOG0644	0.0087365591	0	1
VOG0645	0.0080645161	0	1
VOG0647	0.0228494624	0.0004008819	0.9827580213
VOG0648	0.0053763441	0.0018039687	0.748761819
VOG0650	0.0097446237	0.0040088194	0.7085224852
VOG0651	0.0050403226	0	1
VOG0655	0.0053763441	0	1
VOG0656	0.0063844086	0	1
VOG0657	0.0097446237	0.0022048507	0.815485551
VOG0658	0.0047043011	0	1
VOG0660	0.0023521505	0.0006013229	0.7964014504
VOG0661	0.0120967742	0	1
VOG0668	0.0309139785	0	1
VOG0672	0.0047043011	0	1
VOG0673	0.0144489247	0.0040088194	0.7828109777
VOG0674	0.0050403226	0	1
VOG0676	0.0890456989	0.0074163159	0.9231167221
VOG0677	0.0278897849	0.8334335538	0.032380157
VOG0678	0.0255376344	0.0036079375	0.8762097557
VOG0679	0.0221774194	0	1
VOG0681	0.0043682796	0	1
VOG0682	0.0050403226	0.0012026458	0.8073599379
VOG0685	0.0157930108	0.0018039687	0.8974841828
VOG0686	0.0268817204	0.0022048507	0.9241969545
VOG0689	0.0235215054	0.000200441	0.9915503995
VOG0691	0.0094086022	0.0038083784	0.7118571516
VOG0692	0.0094086022	0.0034074965	0.7341237308
VOG0694	0.0053763441	0.0004008819	0.9306099608
VOG0695	0.0104166667	0.0034074965	0.7535115541
VOG0696	0.0084005376	0.0016035278	0.8397123871
VOG0697	0.0090725806	0.0030066146	0.7510914839
VOG0698	0.0057123656	0.0004008819	0.9344240621
VOG0700	0.002016129	0	1
VOG0701	0.0084005376	0.0022048507	0.7921009012
VOG0703	0.0215053763	0.006614552	0.7647735112
VOG0704	0.0577956989	0.0062136701	0.9029256159
VOG0705	0.0252016129	0.1334936861	0.1588050375
VOG0706	0.0087365591	0.0138304269	0.3871389431
VOG0707	0.0043682796	0.0018039687	0.7077290732
VOG0709	0.0043682796	0	1
VOG0712	0.0063844086	0.0028061736	0.6946685721
VOG0713	0.0114247312	0.0024052916	0.8260818748
VOG0714	0.0033602151	0.0004008819	0.8934135597
VOG0717	0.0084005376	0.000200441	0.9766955623
VOG0719	0.0040322581	0	1
VOG0720	0.1999327957	0.0228502706	0.8974326416
VOG0723	0.0147849462	0.0012026458	0.9247763005
VOG0724	0.0359543011	0.0174383644	0.6733940093
VOG0725	0.0262096774	0.0024052916	0.9159428886
VOG0727	0.0050403226	0.0020044097	0.715473971
VOG0731	0.0057123656	0.0032070555	0.6404412931
VOG0733	0.002016129	0.1146522349	0.0172808546
VOG0734	0.0016801075	0	1
VOG0735	0.0030241935	0.0026057326	0.5371639809
VOG0736	0.0030241935	0.000200441	0.9378407168
VOG0737	0.0023521505	0.0006013229	0.7964014504
VOG0739	0.0023521505	0.0004008819	0.8543853211
VOG0740	0.0043682796	0.0004008819	0.9159428886
VOG0741	0.0077284946	0.000200441	0.974720318
VOG0743	0.0057123656	0.000200441	0.9661005365
VOG0744	0.0023521505	0.0016035278	0.5946263472
VOG0749	0.0040322581	0.0042092604	0.4892615475
VOG0750	0.001344086	0.000200441	0.8702250131
VOG0751	0.0349462366	0.0412908398	0.4583889914
VOG0752	0.002016129	0.0004008819	0.8341414479
VOG0753	0.0235215054	0.020444979	0.534987178
VOG0754	0.001344086	0.0008017639	0.6263653484
VOG0755	0.002688172	0.0006013229	0.8171990172
VOG0756	0.0060483871	0.006414111	0.485327021
VOG0757	0.002016129	0.000200441	0.9095715588
VOG0758	0.001344086	0	1
VOG0760	0.002016129	0.0004008819	0.8341414479
VOG0763	0.0016801075	0	1
VOG0764	0.0154569892	0.0104229304	0.5972580066
VOG0765	0.031922043	0.040489076	0.4408444927
VOG0766	0.0036962366	0.0006013229	0.8600780479
VOG0769	0.0067204301	0.0016035278	0.8073599379
VOG0771	0.0359543011	0	1
VOG0774	0.0023521505	0.0010022049	0.7012228179
VOG0776	0.0178091398	0.0016035278	0.9173978663
VOG0784	0.0131048387	0.0010022049	0.9289571308
VOG0785	0.002688172	0.0008017639	0.7702640111
VOG0787	0.0050403226	0.0026057326	0.6592056235
VOG0788	0.0063844086	0.000200441	0.9695602811
VOG0789	0.0050403226	0	1
VOG0790	0.0174731183	0.0036079375	0.8288540429
VOG0791	0.0050403226	0	1
VOG0792	0.0070564516	0.0006013229	0.9214755007
VOG0793	0.0053763441	0.0006013229	0.8994050838
VOG0794	0.0094086022	0.0006013229	0.9399273314
VOG0795	0.0100806452	0.000200441	0.980503911
VOG0796	0.0675403226	0.0342754059	0.6633584378
VOG0797	0.0060483871	0	1
VOG0799	0.0282258065	0.0032070555	0.897971253
VOG0800	0.0161290323	0.0024052916	0.8702250131
VOG0801	0.029233871	0.0108238124	0.7297943495
VOG0804	0.0184811828	0.0018039687	0.9110694969
VOG0805	0.0383064516	0.0016035278	0.9598213834
VOG0806	0.0050403226	0.000200441	0.9617534796
VOG0807	0.0023521505	0	1
VOG0808	0.0110887097	0.0014030868	0.8876793426
VOG0809	0.0036962366	0.000200441	0.9485610578
VOG0810	0.0053763441	0	1
VOG0811	0.0077284946	0.000200441	0.974720318
VOG0812	0.030577957	0.0050110243	0.8591973111
VOG0813	0.0208333333	0.0004008819	0.981120944
VOG0814	0.002688172	0	1
VOG0815	0.0023521505	0	1
VOG0816	0.0107526882	0	1
VOG0817	0.0090725806	0	1
VOG0819	0.0040322581	0.0004008819	0.9095715588
VOG0820	0.0030241935	0.000200441	0.9378407168
VOG0821	0.0057123656	0.0024052916	0.7036963286
VOG0822	0.0712365591	0.0296652636	0.7059987344
VOG0823	0.002688172	0.0036079375	0.426957638
VOG0824	0.0181451613	0.0082180798	0.6882750586
VOG0825	0.0077284946	0.0052114652	0.5972580066
VOG0827	0.0181451613	0.0114251353	0.6136279775
VOG0828	0.0117607527	0.0032070555	0.7857364634
VOG0830	0.0124327957	0.0170374825	0.4218757499
VOG0831	0.0060483871	0.0128282221	0.3204170324
VOG0832	0.0094086022	0.0024052916	0.7964014504
VOG0833	0.0228494624	0.0190418922	0.5454457757
VOG0835	0.0030241935	0.0034074965	0.4702020043
VOG0837	0.0030241935	0.0038083784	0.4426142245
VOG0838	0.0057123656	0.0018039687	0.7599935482
VOG0839	0.0100806452	0.0038083784	0.7257994123
VOG0840	0.0053763441	0.0034074965	0.6120721384
VOG0842	0.0053763441	0.0020044097	0.7284275077
VOG0843	0.0053763441	0.0012026458	0.8171990172
VOG0847	0.0416666667	0.0184405693	0.6932055023
VOG0848	0.0557795699	0.0194427741	0.7415292708
VOG0850	0.0389784946	0.0222489477	0.636618045
VOG0855	0.0181451613	0.1326919222	0.1202964209
VOG0861	0.0043682796	0.0006013229	0.8789997967
VOG0862	0.0036962366	0.0050110243	0.4245004989
VOG0866	0.0057123656	0.0100220485	0.3630491454
VOG0868	0.0097446237	0	1
VOG0870	0.0107526882	0	1
VOG0874	0.0016801075	0	1
VOG0875	0.0023521505	0	1
VOG0876	0.002016129	0	1
VOG0877	0.001344086	0	1
VOG0878	0.0023521505	0	1
VOG0879	0.002016129	0	1
VOG0880	0.001344086	0	1
VOG0885	0.0023521505	0	1
VOG0886	0.001344086	0	1
VOG0887	0.030577957	0.000200441	0.9934876087
VOG0888	0.030577957	0.000200441	0.9934876087
VOG0889	0.030577957	0.000200441	0.9934876087
VOG0890	0.0309139785	0.000200441	0.9935579396
VOG0893	0.030577957	0.000200441	0.9934876087
VOG0894	0.030577957	0.000200441	0.9934876087
VOG0897	0.030577957	0.0008017639	0.9744496172
VOG0900	0.030577957	0.000200441	0.9934876087
VOG0901	0.031922043	0.000200441	0.9937601037
VOG0902	0.0295698925	0	1
VOG0903	0.0201612903	0.000200441	0.9901559957
VOG0904	0.0309139785	0.000200441	0.9935579396
VOG0905	0.030577957	0.000200441	0.9934876087
VOG0906	0.0383064516	0.0052114652	0.8802455264
VOG0907	0.0252016129	0	1
VOG0908	0.030577957	0.000200441	0.9934876087
VOG0909	0.0110887097	0	1
VOG0910	0.0268817204	0	1
VOG0911	0.030577957	0	1
VOG0913	0.030577957	0.000200441	0.9934876087
VOG0914	0.030577957	0.000200441	0.9934876087
VOG0917	0.0248655914	0	1
VOG0918	0.0050403226	0.7873321307	0.0063610523
VOG0919	0.0262096774	0	1
VOG0920	0.0164650538	0	1
VOG0921	0.033938172	0.000200441	0.9941286141
VOG0922	0.0228494624	0	1
VOG0924	0.0309139785	0.000200441	0.9935579396
VOG0925	0.0127688172	0	1
VOG0926	0.0050403226	0	1
